2019-09-05 10:45:47,941 -  testcases.test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-05 10:48:58,438 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:58,438 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-05 10:48:58,634 -  test_invest - DEBUG - 结束测试:投资人正常登录 - [test_invest.py:64 ]
2019-09-05 10:48:58,635 -  test_invest - DEBUG - 开始测试:投资人正常投资 - [test_invest.py:31 ]
2019-09-05 10:48:58,642 -  test_invest - DEBUG - 开始测试:投资人投资不输入金额 - [test_invest.py:31 ]
2019-09-05 10:48:58,658 -  test_invest - DEBUG - 开始测试:投资人投资输入负数 - [test_invest.py:31 ]
2019-09-05 10:48:58,683 -  test_invest - DEBUG - 测试后置处理 - [test_invest.py:68 ]
2019-09-05 10:53:09,610 -  test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-05 10:53:09,798 -  test_invest - DEBUG - 开始测试:管理员正常登录 - [test_invest.py:31 ]
2019-09-05 10:53:09,810 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:09,811 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:09,812 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15814447890', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:10,140 -  test_invest - DEBUG - 结束测试:管理员正常登录 - [test_invest.py:64 ]
2019-09-05 10:53:10,141 -  test_invest - DEBUG - 开始测试:管理员加标 - [test_invest.py:31 ]
2019-09-05 10:53:10,264 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:10,265 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-05 10:53:10,266 -  common.http_request - DEBUG - 请求data:{'loanTerm': 3, 'loanRate': '12.0', 'loanDateType': 0, 'title': '世界这么大，想去看一看', 'biddingDays': 5, 'memberId': '1197', 'amount': 20000, 'repaymemtWay': 11} - [http_request.py:58 ]
2019-09-05 10:53:10,657 -  test_invest - DEBUG - 结束测试:管理员加标 - [test_invest.py:64 ]
2019-09-05 10:53:10,658 -  test_invest - DEBUG - 开始测试:管理员审核 - [test_invest.py:31 ]
2019-09-05 10:53:10,664 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:10,667 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/audit - [http_request.py:57 ]
2019-09-05 10:53:10,668 -  common.http_request - DEBUG - 请求data:{'id': '69543', 'status': 4} - [http_request.py:58 ]
2019-09-05 10:53:10,846 -  test_invest - DEBUG - 结束测试:管理员审核 - [test_invest.py:64 ]
2019-09-05 10:53:10,850 -  test_invest - DEBUG - 开始测试:投资人正常登录 - [test_invest.py:31 ]
2019-09-05 10:53:10,852 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:10,852 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:10,852 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:11,124 -  test_invest - DEBUG - 结束测试:投资人正常登录 - [test_invest.py:64 ]
2019-09-05 10:53:11,126 -  test_invest - DEBUG - 开始测试:投资人正常投资 - [test_invest.py:31 ]
2019-09-05 10:53:11,142 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:11,143 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-05 10:53:11,143 -  common.http_request - DEBUG - 请求data:{'password': '123456', 'memberId': '88538', 'amount': '100', 'loanId': '69543'} - [http_request.py:58 ]
2019-09-05 10:53:11,358 -  test_invest - DEBUG - 结束测试:投资人正常投资 - [test_invest.py:64 ]
2019-09-05 10:53:11,360 -  test_invest - DEBUG - 开始测试:投资人投资不输入金额 - [test_invest.py:31 ]
2019-09-05 10:53:11,368 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:11,369 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-05 10:53:11,369 -  common.http_request - DEBUG - 请求data:{'password': '123456', 'memberId': '88538', 'amount': '', 'loanId': '69543'} - [http_request.py:58 ]
2019-09-05 10:53:11,576 -  test_invest - DEBUG - 结束测试:投资人投资不输入金额 - [test_invest.py:64 ]
2019-09-05 10:53:11,576 -  test_invest - DEBUG - 开始测试:投资人投资输入负数 - [test_invest.py:31 ]
2019-09-05 10:53:11,587 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:11,587 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-05 10:53:11,587 -  common.http_request - DEBUG - 请求data:{'password': '123456', 'memberId': '88538', 'amount': '-100', 'loanId': '69543'} - [http_request.py:58 ]
2019-09-05 10:53:11,780 -  test_invest - DEBUG - 结束测试:投资人投资输入负数 - [test_invest.py:64 ]
2019-09-05 10:53:11,782 -  test_invest - DEBUG - 测试后置处理 - [test_invest.py:68 ]
2019-09-05 10:53:21,437 -  test_add - INFO - 准备测试前置 - [test_add.py:22 ]
2019-09-05 10:53:21,618 -  test_add - INFO - 开始测试:正常登录 - [test_add.py:28 ]
2019-09-05 10:53:21,630 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:21,631 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:21,631 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:21,902 -  test_add - INFO - 结束测试:正常登录 - [test_add.py:43 ]
2019-09-05 10:53:21,905 -  test_add - INFO - 开始测试:加标 - [test_add.py:28 ]
2019-09-05 10:53:21,908 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:21,908 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-05 10:53:21,908 -  common.http_request - DEBUG - 请求data:{'biddingDays': 5, 'loanDateType': 0, 'loanTerm': 3, 'amount': 20000, 'loanRate': '12.0', 'memberId': '1197', 'title': '试试人品行不行，借个2W玩玩', 'repaymemtWay': 11} - [http_request.py:58 ]
2019-09-05 10:53:22,061 -  test_add - INFO - 结束测试:加标 - [test_add.py:43 ]
2019-09-05 10:53:22,061 -  test_add - INFO - 测试后置处理 - [test_add.py:47 ]
2019-09-05 10:53:22,065 -  test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-05 10:53:22,244 -  test_invest - DEBUG - 开始测试:管理员正常登录 - [test_invest.py:31 ]
2019-09-05 10:53:22,250 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:22,250 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:22,250 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15814447890', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:22,517 -  test_invest - DEBUG - 结束测试:管理员正常登录 - [test_invest.py:64 ]
2019-09-05 10:53:22,521 -  test_invest - DEBUG - 开始测试:管理员加标 - [test_invest.py:31 ]
2019-09-05 10:53:22,645 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:22,645 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-05 10:53:22,645 -  common.http_request - DEBUG - 请求data:{'biddingDays': 5, 'loanDateType': 0, 'loanTerm': 3, 'amount': 20000, 'loanRate': '12.0', 'memberId': '1197', 'title': '世界这么大，想去看一看', 'repaymemtWay': 11} - [http_request.py:58 ]
2019-09-05 10:53:23,129 -  test_invest - DEBUG - 结束测试:管理员加标 - [test_invest.py:64 ]
2019-09-05 10:53:23,130 -  test_invest - DEBUG - 开始测试:管理员审核 - [test_invest.py:31 ]
2019-09-05 10:53:23,134 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:23,134 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/audit - [http_request.py:57 ]
2019-09-05 10:53:23,134 -  common.http_request - DEBUG - 请求data:{'id': '69545', 'status': 4} - [http_request.py:58 ]
2019-09-05 10:53:23,350 -  test_invest - DEBUG - 结束测试:管理员审核 - [test_invest.py:64 ]
2019-09-05 10:53:23,354 -  test_invest - DEBUG - 开始测试:投资人正常登录 - [test_invest.py:31 ]
2019-09-05 10:53:23,362 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:23,362 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:23,364 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:23,599 -  test_invest - DEBUG - 结束测试:投资人正常登录 - [test_invest.py:64 ]
2019-09-05 10:53:23,600 -  test_invest - DEBUG - 开始测试:投资人正常投资 - [test_invest.py:31 ]
2019-09-05 10:53:23,601 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:23,601 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-05 10:53:23,603 -  common.http_request - DEBUG - 请求data:{'memberId': '88538', 'password': '123456', 'loanId': '69545', 'amount': '100'} - [http_request.py:58 ]
2019-09-05 10:53:23,810 -  test_invest - DEBUG - 结束测试:投资人正常投资 - [test_invest.py:64 ]
2019-09-05 10:53:23,810 -  test_invest - DEBUG - 开始测试:投资人投资不输入金额 - [test_invest.py:31 ]
2019-09-05 10:53:23,815 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:23,815 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-05 10:53:23,815 -  common.http_request - DEBUG - 请求data:{'memberId': '88538', 'password': '123456', 'loanId': '69545', 'amount': ''} - [http_request.py:58 ]
2019-09-05 10:53:24,041 -  test_invest - DEBUG - 结束测试:投资人投资不输入金额 - [test_invest.py:64 ]
2019-09-05 10:53:24,041 -  test_invest - DEBUG - 开始测试:投资人投资输入负数 - [test_invest.py:31 ]
2019-09-05 10:53:24,045 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:24,045 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/bidLoan - [http_request.py:57 ]
2019-09-05 10:53:24,049 -  common.http_request - DEBUG - 请求data:{'memberId': '88538', 'password': '123456', 'loanId': '69545', 'amount': '-100'} - [http_request.py:58 ]
2019-09-05 10:53:24,219 -  test_invest - DEBUG - 结束测试:投资人投资输入负数 - [test_invest.py:64 ]
2019-09-05 10:53:24,219 -  test_invest - DEBUG - 测试后置处理 - [test_invest.py:68 ]
2019-09-05 10:53:24,222 -  test_login - DEBUG - 准备测试前置 - [test_login.py:22 ]
2019-09-05 10:53:24,222 -  test_login - DEBUG - 开始测试:正常登录 - [test_login.py:28 ]
2019-09-05 10:53:24,223 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:24,224 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:24,224 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:24,525 -  test_login - DEBUG - 结束测试:正常登录 - [test_login.py:41 ]
2019-09-05 10:53:24,526 -  test_login - DEBUG - 开始测试:输入错误的密码 - [test_login.py:28 ]
2019-09-05 10:53:24,529 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:24,529 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:24,529 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '098786'} - [http_request.py:58 ]
2019-09-05 10:53:24,704 -  test_login - DEBUG - 结束测试:输入错误的密码 - [test_login.py:41 ]
2019-09-05 10:53:24,705 -  test_login - DEBUG - 开始测试:不输入密码 - [test_login.py:28 ]
2019-09-05 10:53:24,705 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:53:24,705 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:24,705 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': ''} - [http_request.py:58 ]
2019-09-05 10:53:24,853 -  test_login - DEBUG - 结束测试:不输入密码 - [test_login.py:41 ]
2019-09-05 10:53:24,853 -  test_login - DEBUG - 开始测试:不输入手机号码 - [test_login.py:28 ]
2019-09-05 10:53:24,854 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:24,854 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:24,854 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:25,098 -  test_login - DEBUG - 结束测试:不输入手机号码 - [test_login.py:41 ]
2019-09-05 10:53:25,098 -  test_login - DEBUG - 测试后置处理 - [test_login.py:46 ]
2019-09-05 10:53:25,102 -  test_recharge - DEBUG - 准备测试前置 - [test_recharge.py:22 ]
2019-09-05 10:53:25,104 -  test_recharge - DEBUG - 开始测试:正常登陆 - [test_recharge.py:27 ]
2019-09-05 10:53:25,108 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:25,108 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:53:25,109 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:25,333 -  test_recharge - DEBUG - 结束测试:正常登陆 - [test_recharge.py:40 ]
2019-09-05 10:53:25,337 -  test_recharge - DEBUG - 开始测试:正常充值 - [test_recharge.py:27 ]
2019-09-05 10:53:25,338 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:25,338 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:53:25,338 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'amount': '100'} - [http_request.py:58 ]
2019-09-05 10:53:25,624 -  test_recharge - DEBUG - 结束测试:正常充值 - [test_recharge.py:40 ]
2019-09-05 10:53:25,624 -  test_recharge - DEBUG - 开始测试:充值手机号码不存在 - [test_recharge.py:27 ]
2019-09-05 10:53:25,625 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:25,626 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:53:25,626 -  common.http_request - DEBUG - 请求data:{'mobilephone': '12345677889', 'amount': '101'} - [http_request.py:58 ]
2019-09-05 10:53:25,860 -  test_recharge - DEBUG - 结束测试:充值手机号码不存在 - [test_recharge.py:40 ]
2019-09-05 10:53:25,861 -  test_recharge - DEBUG - 开始测试:充值金额小数点大于两位 - [test_recharge.py:27 ]
2019-09-05 10:53:25,865 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:25,865 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:53:25,866 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'amount': '102.223'} - [http_request.py:58 ]
2019-09-05 10:53:26,025 -  test_recharge - DEBUG - 结束测试:充值金额小数点大于两位 - [test_recharge.py:40 ]
2019-09-05 10:53:26,026 -  test_recharge - DEBUG - 开始测试:输入负数 - [test_recharge.py:27 ]
2019-09-05 10:53:26,027 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:26,027 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:53:26,027 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'amount': '-103'} - [http_request.py:58 ]
2019-09-05 10:53:26,290 -  test_recharge - DEBUG - 结束测试:输入负数 - [test_recharge.py:40 ]
2019-09-05 10:53:26,291 -  test_recharge - DEBUG - 测试后置处理 - [test_recharge.py:44 ]
2019-09-05 10:53:26,293 -  test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-05 10:53:26,294 -  test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-05 10:53:26,404 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:26,406 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:53:26,407 -  common.http_request - DEBUG - 请求data:{'mobilephone': '19000000000', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:53:26,658 -  test_register - ERROR - [0;31m报错了:'{"status":1,"code":"10001","data":null,"msg":"注册成功"}' != '{"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}'
- {"status":1,"code":"10001","data":null,"msg":"注册成功"}
?           ^           ^^^                     ^^^^
+ {"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}
?           ^         ++  ^                     ^^^^^^^^^
[0m - [test_register.py:49 ]
2019-09-05 10:53:26,659 -  test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-05 10:53:26,659 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:26,659 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:53:26,659 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447879', 'pwd': ''} - [http_request.py:58 ]
2019-09-05 10:53:26,803 -  test_register - DEBUG - 结束测试:密码为空，注册失败 - [test_register.py:52 ]
2019-09-05 10:53:26,803 -  test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-05 10:53:26,804 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:26,804 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:53:26,804 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123458'} - [http_request.py:58 ]
2019-09-05 10:53:27,071 -  test_register - DEBUG - 结束测试:手机号码为空，注册失败 - [test_register.py:52 ]
2019-09-05 10:53:27,073 -  test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-05 10:53:27,076 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:53:27,077 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:53:27,078 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123459'} - [http_request.py:58 ]
2019-09-05 10:53:27,273 -  test_register - DEBUG - 结束测试:重复注册 - [test_register.py:52 ]
2019-09-05 10:53:27,273 -  test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
